"Finished","Q2","Q3","Q3_7_TEXT","Q5_1","Q5_2","Q5_3","Q5_4","Q5_5","Q5_6","Q5_7","Q6_1","Q6_2","Q6_3","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q7_9","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q18","Q20","Q21","Q22","Q23_1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q25_1","Q25_2","Q25_3","Q25_4","Q25_5","Q25_6","Q25_7","Q25_8","Q25_9","Q25_10","Q27","Q28","Q28_12_TEXT","Q29","Q29_20_TEXT","Q30_1","Q30_2","Q30_4","Q30_6","Q30_6_TEXT","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q31_10","Q32","Q34","Q35","Q36","Q37","Q38","Q39","Q40","Q41","Q42","Q43","SC0"
"TRUE","1","Other","","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Inhibition of nucleic acid synthesis","Don't Know","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Chloramphenicol","Amoxicillin","Neomycin","Cefazolin","Metronidazole, Gentamicin, Florfenicol","IV amikacin in a foal with septicemia due to pyelonephritis","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Very confident","Very confident","Very confident","Very confident","Very confident","Very confident","Production of an enzyme that modifies the drug","Intrinsic resistance, decreased permeability","Intrinsic resistance, drug modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Don't Know","TRUE","FALSE","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,AABP Antimicrobial Stewardship Guidelines",NA,"Not sure",NA,"10","6","84","0",NA,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","Don't Know","Don't Know","Soluble lincomycin mixed with sugar and fed to honeybees","Antimicrobials are not required at this time","10-day course of doxycycline","Topical chlorhexidine three times a week for two weeks","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Don't Know","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","Don't Know","Yes","31"
"TRUE","2","Other","","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Not at all confident","Somewhat confident","TRUE","TRUE","TRUE","Inhibition of folic acid synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of protein synthesis","Inhibition of folic acid synthesis","Don't Know","Don't Know","Inhibition of cell wall synthesis","Don't Know","Bacteriostatic","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Cefovecin","Erythromycin","Cephalexin","Enrofloxacin","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Intrinsic resistance, target protection","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Yes","AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance,AABP Antimicrobial Stewardship Guidelines,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance,AABP Antimicrobial Stewardship Guidelines,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"9.5","0.5","90","0",NA,"FALSE","Don't Know","Don't Know","FALSE","Don't Know","TRUE","FALSE","TRUE","TRUE","Don't Know","Monensin mixed in feed and fed to dairy cattle","Antimicrobials are not required at this time","Antimicrobials are not required at this time","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Give all mastitis cows one dose of IMM ceftiofur after taking a milk sample for culture, then modify treatment based on culture results. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","26"
"TRUE","3","Other","","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","FALSE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bacteriostatic","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Don't Know","Don't Know","Don't Know","Trimethoprim-Sulfamethoxazole","Clindamycin, Cefpodoxime, Ciprofloxacin","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, drug degradation","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Yes","AABP Antimicrobial Stewardship Guidelines,AASV Basic Guidelines of Judicious Therapeutic Use of Antimicrobials in Pork Production",NA,"AABP Antimicrobial Stewardship Guidelines",NA,"40","20","20","20","Illegal off label usage by owners","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","Don't Know","Tylosin mixed in feed and fed to beef cattle","Antimicrobials are not required at this time","10-day course of amoxicillin-clavulanic acid","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","Don't Know","Yes","28"
"TRUE","4","Other","","Somewhat confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Don't Know","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of cell wall synthesis","Bacteriostatic","Bactericidal","Bacteriostatic","Bacteriostatic","Bacteriostatic","Bacteriostatic","Bactericidal","Bactericidal","Cefovecin","Marbofloxacin","Cephalexin","Clindamycin","Marbofloxacin, Ampicillin, Metronidazole","IV amikacin in a foal with septicemia due to pyelonephritis","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Slightly confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Mutation of topoisomerase","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, target protection","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance,AABP Antimicrobial Stewardship Guidelines",NA,"None of these",NA,"20","10","70","0",NA,"FALSE","Don't Know","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","Monensin mixed in feed and fed to dairy cattle","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Give all mastitis cows one dose of IMM ceftiofur after taking a milk sample for culture, then modify treatment based on culture results. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","39"
"TRUE","5","Small Animal","","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Very confident","TRUE","TRUE","TRUE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Inhibition of protein synthesis","Inhibition of protein synthesis","Inhibition of nucleic acid synthesis","Inhibition of protein synthesis","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Bactericidal","Bactericidal","Bactericidal","Bacteriostatic","Bacteriostatic","Bacteriostatic","Bactericidal","Bactericidal","Chloramphenicol","Marbofloxacin","Cephalexin","Clindamycin","Marbofloxacin, Ampicillin, Metronidazole","IV procaine penicillin G in a horse with streptococcal pneumonia","Don't Know","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Intrinsic resistance, drug modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials,AABP Antimicrobial Stewardship Guidelines",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles",NA,"20","20","60","0",NA,"FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","Bambermycins mixed in feed and fed to chickens","Antimicrobials are not required at this time","Antimicrobials are not required at this time","3-week course of cephalexin","3-day course of amoxicillin","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","One dose of extra-label enrofloxacin, 28-day withdrawal period","5-day course of IM ceftiofur sodium","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","One dose of IM enrofloxacin, 5 day withhold","Yes","42"
"TRUE","6","Other","","Very confident","Somewhat confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","TRUE","TRUE","FALSE","Don't Know","Inhibition of cell wall synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Amikacin","Don't Know","Don't Know","Enrofloxacin","Clindamycin, Cefpodoxime, Ciprofloxacin","SQ tilmicosin in beef calves with bovine respiratory disease that cannot be safely restrained","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Somewhat confident","Somewhat confident","Very confident","Very confident","Very confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","Don't Know","TRUE","TRUE","Don't Know","TRUE","TRUE","Very confident","Somewhat confident","Somewhat confident","Very confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Very confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AABP Antimicrobial Stewardship Guidelines,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AABP Antimicrobial Stewardship Guidelines,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"20","20","60","0",NA,"FALSE","TRUE","Don't Know","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","Tylosin mixed in feed and fed to beef cattle","Don't Know","Don't Know","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","29"
"TRUE","7","Small Animal","","Very confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Slightly confident","Very confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Don't Know","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Bactericidal","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Don't Know","Bacteriostatic","Bacteriostatic","Amikacin","Amoxicillin","Cephalexin","Enrofloxacin","Marbofloxacin, Ampicillin, Metronidazole","IV procaine penicillin G in a horse with streptococcal pneumonia","Oral doxycycline in a pregnant queen to treat an upper respiratory tract infection","Slightly confident","Somewhat confident","Slightly confident","Slightly confident","Somewhat confident","Somewhat confident","Don't Know","Don't Know","Don't Know","Don't Know","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Slightly confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Yes","AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"AVMA Judicious Therapeutic Use of Antimicrobials,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"5","5","90","0",NA,"Don't Know","Don't Know","Don't Know","TRUE","FALSE","TRUE","FALSE","FALSE","Don't Know","TRUE","Don't Know","Antimicrobials are not required at this time","10-day course of amoxicillin-clavulanic acid","2-week course of cefpodoxime","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","3-day course of extra-label ceftiofur hydrochloride, 14-day withdrawal period","5-day course of IM ceftiofur sodium","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","33"
"TRUE","8","Small Animal","","Very confident","Somewhat confident","Somewhat confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Inhibition of protein synthesis","Don't Know","Don't Know","Inhibition of folic acid synthesis","Inhibition of protein synthesis","Bactericidal","Bactericidal","Bactericidal","Bacteriostatic","Don't Know","Bacteriostatic","Bactericidal","Bacteriostatic","Don't Know","Don't Know","Neomycin","Enrofloxacin","Don't Know","Don't Know","Oral trimethoprim-sulfamethoxazole to treat a urinary tract infection in a Shih Tzu with chronic mucoid ocular discharge","Slightly confident","Somewhat confident","Somewhat confident","Somewhat confident","Somewhat confident","Very confident","Don't Know","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","Very confident","Somewhat confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Somewhat confident","Very confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles",NA,"30","30","40","0",NA,"FALSE","TRUE","Don't Know","FALSE","FALSE","TRUE","TRUE","TRUE","Don't Know","TRUE","Don't Know","10-day course of amoxicillin-clavulanic acid","Don't Know","Topical chlorhexidine three times a week for two weeks","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Don't Know","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","Don't Know","Yes","35"
"TRUE","9","Small Animal","","Very confident","Slightly confident","Slightly confident","Not at all confident","Slightly confident","Not at all confident","Very confident","TRUE","TRUE","FALSE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Inhibition of nucleic acid synthesis","Inhibition of nucleic acid synthesis","Don't Know","Don't Know","Inhibition of protein synthesis","Inhibition of nucleic acid synthesis","Bactericidal","Bactericidal","Bactericidal","Bactericidal","Don't Know","Don't Know","Bacteriostatic","Bactericidal","Amikacin","Erythromycin","Cephalexin","Enrofloxacin","Metronidazole, Gentamicin, Florfenicol","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Very confident","Very confident","Very confident","Very confident","Very confident","Very confident","Anaerobic environment","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Acquired resistance, increased efflux","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","Very confident","Slightly confident","Slightly confident","Not at all confident","Somewhat confident","Somewhat confident","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,ACVIM Consensus Statement on Therapeutic Antimicrobial Use in Animals and Antimicrobial Resistance",NA,"20","20","60","0",NA,"FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","Don't Know","Soluble lincomycin mixed with sugar and fed to honeybees","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of enrofloxacin","Antimicrobials are not required at this time","5-day course of IM ceftiofur sodium","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","32"
"TRUE","10","Small Animal","","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Not at all confident","Slightly confident","Somewhat confident","TRUE","FALSE","FALSE","Don't Know","Inhibition of cell wall synthesis","Inhibition of nucleic acid synthesis","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Inhibition of protein synthesis","Don't Know","Bactericidal","Bactericidal","Don't Know","Don't Know","Don't Know","Don't Know","Bactericidal","Cefovecin","Erythromycin","Cephalexin","Enrofloxacin","Marbofloxacin, Ampicillin, Metronidazole","IM florfenicol in a dairy calf with respiratory disease","Oral amoxicillin-clavulanic acid in a dog with bacterial pyodermatitis","Slightly confident","Somewhat confident","Somewhat confident","Not at all confident","Slightly confident","Somewhat confident","Efflux pumps","Intrinsic resistance, decreased permeability","Intrinsic resistance, target protection","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Slightly confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Not at all confident","Not at all confident","Slightly confident","Slightly confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AVMA Judicious Therapeutic Use of Antimicrobials",NA,"AVMA Judicious Therapeutic Use of Antimicrobials",NA,"40","5","55","0",NA,"FALSE","Don't Know","Don't Know","TRUE","FALSE","TRUE","FALSE","TRUE","Don't Know","Don't Know","Don't Know","Antimicrobials are not required at this time","10-day course of doxycycline","3-week course of cephalexin","7-day course of amoxicillin-clavulanic acid","Stop the amoxicillin-clavulanic acid and start a 5-day course of trimethoprim-sulfamethoxazole","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","33"
"TRUE","11","Other","","Very confident","Slightly confident","Somewhat confident","Slightly confident","Very confident","Somewhat confident","Very confident","TRUE","TRUE","TRUE","Inhibition of protein synthesis","Inhibition of cell wall synthesis","Inhibition of protein synthesis","Inhibition of protein synthesis","Inhibition of protein synthesis","Inhibition of nucleic acid synthesis","Don't Know","Don't Know","Inhibition of protein synthesis","Bactericidal","Bactericidal","Bacteriostatic","Bacteriostatic","Don't Know","Don't Know","Bactericidal","Bacteriostatic","Amoxicillin-Clavulanic Acid","Marbofloxacin","Cephalexin","Don't Know","Metronidazole, Gentamicin, Florfenicol","IM florfenicol in a dairy calf with respiratory disease","Don't Know","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Mutation of topoisomerase","Intrinsic resistance, decreased permeability","Acquired resistance, target modification","Intrinsic resistance, drug degradation","TRUE","TRUE","FALSE","TRUE","Don't Know","TRUE","FALSE","TRUE","FALSE","Somewhat confident","Slightly confident","Somewhat confident","Somewhat confident","Not at all confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Slightly confident","Yes","​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle,AAAP Antimicrobial Stewardship for Poultry,AASV Basic Guidelines of Judicious Therapeutic Use of Antimicrobials in Pork Production",NA,"​​​​​​AVMA Antimicrobial Stewardship Definition and Core Principles,AABP-AVC Judicious Therapeutic Use of Antimicrobials in Cattle",NA,"10","30","60","0",NA,"FALSE","FALSE","Don't Know","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Soluble lincomycin mixed with sugar and fed to honeybees","10-day course of amoxicillin-clavulanic acid","Don't Know","Antimicrobials are not required at this time","7-day course of amoxicillin-clavulanic acid","Continue the amoxicillin-clavulanic acid for another 5 days and add trimethoprim-sulfamethoxazole","Antimicrobials are not required at this time","Systemic antimicrobials are not required at this time","Culture all mastitis cows but wait until culture results are received to start treatment. Cattle with gram negative infections or no growth are not treated.","3-day course of IM penicillin, 6 day withhold","Yes","38"
